customer_id,segment,region,acquisition_channel,plan_type,tenure_days,current_mrr,avg_monthly_revenue,lifetime_revenue,recent_sessions_30d,recent_sessions_90d,usage_trend,feature_adoption_score_recent,support_tickets_30d,support_tickets_90d,nps_score_recent,failed_payments_90d,payment_failure_flag,renewal_near_flag,contraction_flag,churn_flag,at_risk_flag
C000001,Mid-Market,Europe,Affiliate,Basic,1380,87.05,86.07,4131.36,33,96,-2.15,42.556,4,8,14.3077,0,0,0,0,0,0
C000002,SMB,North America,Partner,Basic,344,38.61,38.39,460.73,41,82,2.7,46.17,1,5,18.7692,0,0,1,0,0,1
C000003,Enterprise,North America,Outbound,Enterprise,524,634.92,619.08,14857.88,342,988,-0.5,100.0,0,1,44.0833,0,0,0,1,0,0
C000004,Mid-Market,LATAM,Outbound,Basic,842,90.09,90.15,2434.14,69,197,2.65,54.0825,1,5,17.4615,0,0,1,0,0,0
C000005,SMB,LATAM,Organic,Basic,755,0.0,82.66,1735.78,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1,0
C000006,Mid-Market,APAC,Organic,Enterprise,208,1509.77,1519.58,18234.93,219,692,-3.5,100.0,3,10,45.0769,0,0,0,0,0,0
C000007,Startup,Europe,Referral,Growth,1388,137.96,138.36,6226.38,33,121,-2.75,52.425,2,4,28.6154,0,0,1,0,0,0
C000008,Enterprise,Europe,Organic,Basic,453,28.46,28.37,425.61,52,135,4.5,45.0975,0,5,17.7692,0,0,1,0,0,0
C000009,Enterprise,Europe,Partner,Pro,1205,662.18,662.96,25855.28,133,342,0.1,92.95,1,3,37.0,0,0,1,0,0,0
C000010,Enterprise,North America,Organic,Enterprise,1370,2688.13,2697.3,129470.16,243,723,10.25,97.475,1,2,46.5385,0,0,0,0,0,0
C000011,SMB,Europe,Paid Search,Growth,600,0.0,123.49,2346.35,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000012,SMB,Europe,Organic,Growth,35,117.94,120.86,241.72,89,108,-1.2,58.396,3,3,30.6667,0,0,1,0,0,0
C000013,SMB,North America,Referral,Growth,394,262.85,261.99,3667.8,78,249,0.3,68.1825,3,6,27.3077,0,0,1,0,0,0
C000014,Startup,APAC,Paid Search,Basic,343,0.0,41.2,411.97,3,44,-2.9,21.015,1,18,-16.7273,2,1,0,0,1,0
C000015,Startup,North America,Paid Search,Growth,423,325.97,338.69,4064.25,84,247,3.2,63.9675,3,5,19.0769,1,1,0,0,0,0
C000016,Startup,North America,Paid Search,Basic,276,0.0,52.5,419.99,0,9,-1.0,0.0,0,14,-19.8333,1,1,0,0,1,0
C000017,Enterprise,North America,Outbound,Pro,736,391.06,385.82,13889.61,167,395,1.4,95.474,0,0,33.0,0,0,0,0,0,0
C000018,Startup,APAC,Outbound,Basic,1316,56.13,55.73,2396.21,55,123,3.0,31.814,3,3,11.0769,0,0,1,0,0,0
C000019,Startup,APAC,Paid Search,Basic,216,0.0,47.44,237.19,1,5,0.8,8.62,0,9,-15.6,2,1,0,0,1,0
C000020,Mid-Market,Europe,Organic,Growth,832,251.05,248.56,8948.3,102,308,-0.25,73.3675,1,5,21.0,0,0,0,1,0,1
C000021,Mid-Market,APAC,Organic,Pro,757,667.32,666.11,16652.82,72,164,2.4,86.132,2,4,36.6923,0,0,1,0,0,0
C000022,Mid-Market,APAC,Outbound,Growth,780,0.0,245.57,5893.68,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1,0
C000023,Mid-Market,LATAM,Paid Search,Growth,899,0.0,172.49,4829.71,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1,0
C000024,Enterprise,LATAM,Outbound,Growth,85,0.0,125.92,1511.08,22,125,-4.4167,47.1433,3,10,-6.1818,0,0,0,1,1,0
C000025,Mid-Market,North America,Paid Search,Pro,324,458.25,458.34,5041.79,143,441,3.15,94.3325,3,6,34.7692,0,0,1,0,0,0
C000026,SMB,LATAM,Organic,Growth,467,0.0,134.78,2021.73,0,13,0.0,0.0,0,3,-13.6667,0,0,0,0,1,0
C000027,Mid-Market,Europe,Partner,Enterprise,903,3136.48,3097.32,111503.51,240,549,6.75,100.0,2,5,46.6154,0,0,0,1,0,0
C000028,SMB,LATAM,Affiliate,Growth,238,0.0,241.71,1450.27,1,30,-2.25,40.1,0,13,-6.0,1,1,0,1,1,0
C000029,SMB,North America,Outbound,Growth,567,0.0,155.53,2799.6,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1,0
C000030,SMB,LATAM,Referral,Growth,842,110.45,110.32,2978.57,46,129,3.1,59.5125,0,1,23.9231,0,0,0,0,0,0
C000031,SMB,APAC,Paid Search,Basic,788,0.0,110.62,2654.93,0,29,-3.25,0.0,0,16,-12.5,1,1,0,1,1,0
C000032,Mid-Market,North America,Organic,Enterprise,1171,1509.3,1496.37,55365.86,183,585,-2.25,100.0,1,1,42.0,0,0,1,0,0,0
C000033,SMB,APAC,Outbound,Pro,1374,435.53,431.21,20697.9,70,244,-3.5,80.91,2,10,32.3077,0,0,0,0,0,0
C000034,Startup,North America,Referral,Basic,665,0.0,110.16,2313.44,3,13,-0.25,22.51,3,8,-15.8182,0,0,0,0,1,0
C000035,SMB,North America,Affiliate,Growth,160,0.0,129.78,778.66,9,77,-5.6,44.4533,1,20,-2.75,0,0,0,0,1,0
C000036,Enterprise,North America,Referral,Pro,1411,402.33,402.28,18102.58,165,607,-11.0,96.2275,2,2,36.0,0,0,1,0,0,0
C000037,SMB,LATAM,Paid Search,Growth,184,0.0,145.04,870.25,20,108,3.0,48.55,3,19,-10.0,1,1,0,0,1,0
C000038,Mid-Market,Europe,Paid Search,Pro,256,264.61,272.35,1634.07,117,377,2.75,88.81,2,5,27.8462,0,0,1,0,0,1
C000039,Enterprise,North America,Partner,Enterprise,1098,1665.5,1674.26,60273.27,253,744,2.75,100.0,1,3,47.0833,1,1,1,0,0,0
C000040,Startup,Europe,Affiliate,Basic,440,0.0,39.49,513.41,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000041,Mid-Market,North America,Outbound,Pro,1260,361.96,361.26,14811.56,123,311,-1.9,85.044,3,6,36.7692,0,0,1,0,0,0
C000042,SMB,Europe,Outbound,Growth,354,120.71,119.6,1435.15,43,156,-0.25,59.6975,0,5,24.4615,0,0,1,0,0,1
C000043,SMB,APAC,Referral,Basic,435,0.0,42.37,508.41,12,44,1.0,34.48,6,15,-20.2727,2,1,0,0,1,0
C000044,Mid-Market,Europe,Affiliate,Pro,982,323.4,321.92,10623.2,139,429,3.35,90.0125,2,2,33.6154,0,0,1,0,0,0
C000045,Enterprise,LATAM,Partner,Enterprise,1404,1603.9,1612.26,77388.51,308,950,7.5,100.0,3,5,41.4615,0,0,0,0,0,1
C000046,SMB,Europe,Paid Search,Growth,35,150.35,150.35,0.0,74,91,-2.2,54.448,1,1,28.0,0,0,0,0,0,1
C000047,Mid-Market,APAC,Partner,Enterprise,831,1437.46,1440.24,43207.12,243,762,3.75,100.0,1,3,44.5385,0,0,0,0,0,0
C000048,SMB,North America,Paid Search,Basic,162,158.62,162.37,1948.43,37,94,-0.1,45.958,0,3,13.3846,0,0,0,1,0,0
C000049,Mid-Market,North America,Organic,Growth,484,150.35,150.52,3612.41,60,180,-3.75,64.698,4,8,26.3846,0,0,0,1,0,1
C000050,Mid-Market,North America,Partner,Growth,329,0.0,202.47,2227.12,2,31,-2.5,37.14,4,12,-6.4615,0,0,0,0,1,0
C000051,Mid-Market,Europe,Organic,Growth,361,213.29,211.51,2538.1,56,155,4.25,71.3825,0,2,28.3846,0,0,1,0,0,0
C000052,Mid-Market,Europe,Referral,Growth,1213,156.03,155.38,6215.3,58,152,4.7,65.6575,2,5,23.7692,0,0,1,0,0,0
