customer_id,segment,region,acquisition_channel,plan_type,tenure_days,current_mrr,avg_monthly_revenue,lifetime_revenue,churn_risk_score,revenue_risk_score,retention_priority_score,risk_tier,main_risk_driver,recommended_action,recommendation_context,at_risk_flag,payment_failure_flag,renewal_near_flag,contraction_flag,usage_trend,support_tickets_90d,nps_score_recent,feature_adoption_score_recent,failed_payments_90d
C002807,Mid-Market,Europe,Organic,Pro,1077,545.48,548.25,18092.29,74.33,75.05,74.58,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=74.3; revenue_risk=75.0; priority=74.6; current_mrr=$545.48.,1,1,1,1,-5.75,5,31.25,81.2375,1
C003408,Mid-Market,Europe,Affiliate,Pro,550,943.01,942.06,16957.02,67.35,86.42,74.02,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=67.3; revenue_risk=86.4; priority=74.0; current_mrr=$943.01.,1,1,1,0,-3.75,6,34.6154,86.4575,1
C001028,SMB,Europe,Paid Search,Enterprise,1094,983.97,987.52,35550.62,58.0,88.17,68.56,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=58.0; revenue_risk=88.2; priority=68.6; current_mrr=$983.97.,1,0,1,0,-9.35,6,40.1538,97.6525,0
C002601,SMB,Europe,Organic,Growth,208,327.21,328.42,1970.52,74.06,55.94,67.72,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=74.1; revenue_risk=55.9; priority=67.7; current_mrr=$327.21.,1,1,1,0,-5.0,6,15.1538,59.555,1
C002211,SMB,Europe,Organic,Growth,445,248.76,252.69,3032.23,77.6,49.15,67.64,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=77.6; revenue_risk=49.1; priority=67.6; current_mrr=$248.76.,1,1,1,1,-3.75,8,20.6154,55.19,1
C000791,SMB,Europe,Outbound,Enterprise,1362,804.71,805.6,36252.03,58.0,85.13,67.5,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=58.0; revenue_risk=85.1; priority=67.5; current_mrr=$804.71.,1,0,1,0,-6.0,7,39.2308,98.1325,0
C000961,Enterprise,North America,Outbound,Enterprise,1273,1184.29,1180.16,56647.6,54.67,90.74,67.29,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=54.7; revenue_risk=90.7; priority=67.3; current_mrr=$1184.29.,1,0,0,1,-14.75,4,45.75,96.8375,0
C001798,Enterprise,North America,Partner,Enterprise,1226,1595.38,1568.17,75272.39,52.0,94.36,66.83,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=52.0; revenue_risk=94.4; priority=66.8; current_mrr=$1595.38.,1,0,0,1,-7.35,3,39.6923,96.0,0
C002567,Enterprise,Europe,Partner,Enterprise,300,3494.03,3509.22,42110.7,49.33,98.63,66.59,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=49.3; revenue_risk=98.6; priority=66.6; current_mrr=$3494.03.,1,0,0,0,-6.5,5,39.5,98.2425,0
C000590,Startup,North America,Partner,Enterprise,227,3022.06,3069.05,18414.31,49.17,97.05,65.93,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=49.2; revenue_risk=97.0; priority=65.9; current_mrr=$3022.06.,0,1,0,1,-3.25,4,41.0,87.71,1
C003123,Mid-Market,North America,Paid Search,Enterprise,792,2797.24,2859.78,68634.76,48.33,98.39,65.85,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=48.3; revenue_risk=98.4; priority=65.8; current_mrr=$2797.24.,0,1,0,0,-4.55,5,39.9231,95.988,1
