customer_id,signup_date,segment,region,acquisition_channel,plan_type
C000001,2022-05-16,Mid-Market,Europe,Affiliate,Basic
C000002,2025-03-22,SMB,North America,Partner,Basic
C000003,2024-09-21,Enterprise,North America,Outbound,Enterprise
C000004,2023-10-30,Mid-Market,LATAM,Outbound,Basic
C000005,2023-10-21,SMB,LATAM,Organic,Basic
C000006,2025-07-29,Mid-Market,APAC,Organic,Enterprise
C000007,2022-05-11,Startup,Europe,Referral,Growth
C000008,2024-11-25,Enterprise,Europe,Organic,Basic
C000009,2022-11-03,Enterprise,Europe,Partner,Pro
C000010,2022-05-24,Enterprise,North America,Organic,Enterprise
C000011,2024-03-11,SMB,Europe,Paid Search,Growth
C000012,2026-01-22,SMB,Europe,Organic,Growth
C000013,2025-01-23,SMB,North America,Referral,Growth
C000014,2025-03-02,Startup,APAC,Paid Search,Basic
C000015,2024-12-26,Startup,North America,Paid Search,Growth
C000016,2025-04-09,Startup,North America,Paid Search,Basic
C000017,2024-02-20,Enterprise,North America,Outbound,Pro
C000018,2022-07-14,Startup,APAC,Outbound,Basic
C000019,2025-06-30,Startup,APAC,Paid Search,Basic
C000020,2023-11-16,Mid-Market,Europe,Organic,Growth
C000021,2024-01-31,Mid-Market,APAC,Organic,Pro
C000022,2023-07-18,Mid-Market,APAC,Outbound,Growth
C000023,2022-10-05,Mid-Market,LATAM,Paid Search,Growth
C000024,2025-11-09,Enterprise,LATAM,Outbound,Growth
C000025,2025-04-02,Mid-Market,North America,Paid Search,Pro
C000026,2024-09-05,SMB,LATAM,Organic,Growth
C000027,2023-09-04,Mid-Market,Europe,Partner,Enterprise
C000028,2025-06-04,SMB,LATAM,Affiliate,Growth
C000029,2024-04-09,SMB,North America,Outbound,Growth
C000030,2023-11-05,SMB,LATAM,Referral,Growth
C000031,2023-11-16,SMB,APAC,Paid Search,Basic
C000032,2022-12-12,Mid-Market,North America,Organic,Enterprise
C000033,2022-05-21,SMB,APAC,Outbound,Pro
C000034,2024-04-22,Startup,North America,Referral,Basic
C000035,2025-09-11,SMB,North America,Affiliate,Growth
C000036,2022-04-08,Enterprise,North America,Referral,Pro
C000037,2025-07-28,SMB,LATAM,Paid Search,Growth
C000038,2025-06-11,Mid-Market,Europe,Paid Search,Pro
C000039,2023-02-25,Enterprise,North America,Partner,Enterprise
C000040,2024-08-18,Startup,Europe,Affiliate,Basic
C000041,2022-09-09,Mid-Market,North America,Outbound,Pro
C000042,2025-02-26,SMB,Europe,Outbound,Growth
