payment_id,customer_id,payment_date,amount,payment_status
PAY00000001,C000001,2022-05-21,265.32,paid
PAY00000002,C000001,2022-08-21,262.84,paid
PAY00000003,C000001,2022-11-21,249.49,paid
PAY00000004,C000001,2023-02-21,260.69,paid
PAY00000005,C000001,2023-05-21,259.77,paid
PAY00000006,C000001,2023-08-21,263.74,paid
PAY00000007,C000001,2023-11-21,259.63,paid
PAY00000008,C000001,2024-02-21,257.98,paid
PAY00000009,C000001,2024-05-21,251.02,paid
PAY00000010,C000001,2024-08-21,256.33,paid
PAY00000011,C000001,2024-11-21,261.67,paid
PAY00000012,C000001,2025-02-21,269.59,paid
PAY00000013,C000001,2025-05-21,250.9,paid
PAY00000014,C000001,2025-08-21,262.5,paid
PAY00000015,C000001,2025-11-21,247.31,paid
PAY00000016,C000001,2026-02-21,252.58,paid
PAY00000017,C000002,2025-03-22,37.34,paid
PAY00000018,C000002,2025-04-22,37.75,paid
PAY00000019,C000002,2025-05-22,38.78,paid
PAY00000020,C000002,2025-06-22,36.98,paid
PAY00000021,C000002,2025-07-22,38.74,paid
PAY00000022,C000002,2025-08-22,37.98,paid
PAY00000023,C000002,2025-09-22,38.23,paid
PAY00000024,C000002,2025-10-22,40.7,paid
PAY00000025,C000002,2025-11-22,38.65,paid
PAY00000026,C000002,2025-12-22,37.42,paid
PAY00000027,C000002,2026-01-22,39.7,paid
PAY00000028,C000002,2026-02-22,38.46,paid
PAY00000029,C000003,2024-09-23,7287.29,paid
PAY00000030,C000003,2025-09-23,7570.59,paid
PAY00000031,C000004,2023-11-10,90.44,paid
PAY00000032,C000004,2023-12-10,90.6,paid
PAY00000033,C000004,2024-01-10,90.58,paid
PAY00000034,C000004,2024-02-10,93.56,paid
PAY00000035,C000004,2024-03-10,87.1,paid
PAY00000036,C000004,2024-04-10,91.46,paid
PAY00000037,C000004,2024-05-10,92.06,failed
PAY00000038,C000004,2024-06-10,87.52,paid
PAY00000039,C000004,2024-07-10,88.42,paid
PAY00000040,C000004,2024-08-10,85.72,paid
PAY00000041,C000004,2024-09-10,88.83,paid
PAY00000042,C000004,2024-10-10,91.99,paid
PAY00000043,C000004,2024-11-10,86.58,paid
PAY00000044,C000004,2024-12-10,93.43,paid
PAY00000045,C000004,2025-01-10,88.14,paid
PAY00000046,C000004,2025-02-10,88.06,paid
PAY00000047,C000004,2025-03-10,93.3,paid
PAY00000048,C000004,2025-04-10,88.63,paid
PAY00000049,C000004,2025-05-10,89.11,paid
PAY00000050,C000004,2025-06-10,89.76,paid
PAY00000051,C000004,2025-07-10,90.95,paid
PAY00000052,C000004,2025-08-10,89.69,paid
PAY00000053,C000004,2025-09-10,91.03,paid
PAY00000054,C000004,2025-10-10,91.27,paid
PAY00000055,C000004,2025-11-10,90.67,paid
PAY00000056,C000004,2025-12-10,88.86,paid
PAY00000057,C000004,2026-01-10,93.91,paid
PAY00000058,C000004,2026-02-10,94.53,paid
PAY00000059,C000005,2023-10-22,255.55,paid
PAY00000060,C000005,2024-01-22,249.21,paid
PAY00000061,C000005,2024-04-22,243.97,paid
PAY00000062,C000005,2024-07-22,246.63,paid
PAY00000063,C000005,2024-10-22,239.7,paid
PAY00000064,C000005,2025-01-22,254.99,paid
PAY00000065,C000005,2025-04-22,251.3,failed
PAY00000066,C000005,2025-07-22,245.73,paid
PAY00000067,C000005,2025-10-22,244.04,failed
PAY00000068,C000006,2025-08-05,18234.93,paid
PAY00000069,C000007,2022-05-13,135.91,paid
PAY00000070,C000007,2022-06-13,132.58,paid
PAY00000071,C000007,2022-07-13,134.94,paid
PAY00000072,C000007,2022-08-13,139.74,paid
PAY00000073,C000007,2022-09-13,139.76,paid
PAY00000074,C000007,2022-10-13,137.03,paid
PAY00000075,C000007,2022-11-13,144.07,paid
PAY00000076,C000007,2022-12-13,136.93,paid
PAY00000077,C000007,2023-01-13,140.92,paid
PAY00000078,C000007,2023-02-13,136.83,paid
PAY00000079,C000007,2023-03-13,134.25,paid
PAY00000080,C000007,2023-04-13,135.86,paid
PAY00000081,C000007,2023-05-13,140.11,paid
PAY00000082,C000007,2023-06-13,139.25,paid
PAY00000083,C000007,2023-07-13,137.9,paid
PAY00000084,C000007,2023-08-13,139.3,paid
PAY00000085,C000007,2023-09-13,138.87,paid
PAY00000086,C000007,2023-10-13,139.31,paid
