subscription_id,customer_id,subscription_start_date,subscription_end_date,monthly_revenue,contract_type,billing_cycle,status
SUB000001,C000001,2022-05-21,,87.05,Monthly,Quarterly,active
SUB000002,C000002,2025-03-22,,38.61,Monthly,Monthly,at_risk
SUB000003,C000003,2024-09-23,,634.92,Annual,Annual,active
SUB000004,C000004,2023-11-10,,90.09,Monthly,Monthly,active
SUB000005,C000005,2023-10-22,2025-11-15,82.64,Monthly,Quarterly,churned
SUB000006,C000006,2025-08-05,,1509.77,Annual,Annual,active
SUB000007,C000007,2022-05-13,,137.96,Monthly,Monthly,active
SUB000008,C000008,2024-12-03,,28.46,Monthly,Monthly,active
SUB000009,C000009,2022-11-12,,662.18,Monthly,Monthly,active
SUB000010,C000010,2022-05-31,,2688.13,Annual,Annual,active
SUB000011,C000011,2024-03-22,2025-11-12,121.94,Monthly,Monthly,churned
SUB000012,C000012,2026-01-25,,117.94,Monthly,Monthly,active
SUB000013,C000013,2025-01-31,,262.85,Monthly,Monthly,active
SUB000014,C000014,2025-03-06,2026-02-12,41.2,Monthly,Monthly,churned
SUB000015,C000015,2025-01-02,,325.97,Annual,Annual,active
SUB000016,C000016,2025-04-09,2026-01-10,52.37,Monthly,Monthly,churned
SUB000017,C000017,2024-02-24,,391.06,Annual,Annual,active
SUB000018,C000018,2022-07-24,,56.13,Monthly,Monthly,active
SUB000019,C000019,2025-07-11,2026-02-12,46.22,Monthly,Monthly,churned
SUB000020,C000020,2023-11-20,,251.05,Annual,Annual,at_risk
SUB000021,C000021,2024-02-03,,667.32,Monthly,Monthly,active
SUB000022,C000022,2023-07-22,2025-09-09,247.25,Monthly,Monthly,churned
SUB000023,C000023,2022-10-09,2025-03-26,172.26,Monthly,Monthly,churned
SUB000024,C000024,2025-11-23,2026-02-16,133.3,Annual,Annual,churned
SUB000025,C000025,2025-04-11,,458.25,Monthly,Monthly,active
SUB000026,C000026,2024-09-10,2025-12-21,134.95,Monthly,Monthly,churned
SUB000027,C000027,2023-09-10,,3136.48,Annual,Annual,active
SUB000028,C000028,2025-06-11,2026-02-04,238.91,Annual,Quarterly,churned
SUB000029,C000029,2024-04-17,2025-11-05,154.25,Annual,Quarterly,churned
SUB000030,C000030,2023-11-10,,110.45,Monthly,Quarterly,active
SUB000031,C000031,2023-11-30,2026-01-26,110.03,Monthly,Monthly,churned
SUB000032,C000032,2022-12-16,,1509.3,Monthly,Monthly,active
SUB000033,C000033,2022-05-27,,435.53,Annual,Annual,active
SUB000034,C000034,2024-04-22,2026-02-16,110.46,Monthly,Monthly,churned
SUB000035,C000035,2025-09-18,2026-02-25,130.48,Monthly,Quarterly,churned
SUB000036,C000036,2022-04-20,,402.33,Monthly,Monthly,active
SUB000037,C000037,2025-08-11,2026-02-11,145.89,Monthly,Monthly,churned
SUB000038,C000038,2025-06-18,,264.61,Annual,Quarterly,at_risk
SUB000039,C000039,2023-02-27,,1665.5,Monthly,Monthly,active
SUB000040,C000040,2024-08-28,2025-11-11,39.03,Monthly,Monthly,churned
SUB000041,C000041,2022-09-18,,361.96,Monthly,Monthly,active
SUB000042,C000042,2025-03-12,,120.71,Annual,Annual,at_risk
SUB000043,C000043,2024-12-07,2026-02-15,42.23,Monthly,Monthly,churned
SUB000044,C000044,2023-06-23,,323.4,Monthly,Monthly,active
SUB000045,C000045,2022-04-27,,1603.9,Annual,Quarterly,at_risk
SUB000046,C000046,2026-01-25,,150.35,Monthly,Quarterly,at_risk
SUB000047,C000047,2023-11-21,,1437.46,Annual,Quarterly,active
SUB000048,C000048,2025-09-20,,158.62,Annual,Annual,active
SUB000049,C000049,2024-11-02,,150.35,Annual,Annual,at_risk
SUB000050,C000050,2025-04-04,2026-02-27,203.8,Monthly,Monthly,churned
SUB000051,C000051,2025-03-05,,213.29,Monthly,Monthly,active
SUB000052,C000052,2022-11-04,,156.03,Monthly,Monthly,active
SUB000053,C000053,2023-07-10,,516.06,Monthly,Monthly,at_risk
SUB000054,C000054,2023-12-12,,161.33,Monthly,Monthly,active
SUB000055,C000055,2024-01-30,,500.85,Monthly,Monthly,active
SUB000056,C000056,2022-03-22,2025-12-31,126.54,Monthly,Monthly,churned
SUB000057,C000057,2024-04-11,2026-01-03,44.03,Monthly,Monthly,churned
SUB000058,C000058,2022-08-31,,463.28,Annual,Annual,active
SUB000059,C000059,2025-02-05,2026-02-18,72.71,Monthly,Monthly,churned
SUB000060,C000060,2024-11-09,2026-01-18,107.83,Annual,Annual,churned
SUB000061,C000061,2025-11-11,,1140.0,Monthly,Monthly,at_risk
SUB000062,C000062,2025-02-06,2026-02-01,171.28,Monthly,Monthly,churned
SUB000063,C000063,2023-07-15,2026-01-24,208.8,Monthly,Monthly,churned
SUB000064,C000064,2026-01-18,,246.56,Monthly,Monthly,active
SUB000065,C000065,2023-09-17,,263.71,Monthly,Monthly,active
SUB000066,C000066,2023-05-18,,231.94,Monthly,Monthly,active
SUB000067,C000067,2025-10-17,,384.57,Monthly,Monthly,active
SUB000068,C000068,2023-07-21,,400.0,Monthly,Monthly,active
SUB000069,C000069,2022-04-29,,148.39,Monthly,Monthly,active
SUB000070,C000070,2023-12-22,,673.62,Annual,Annual,active
SUB000071,C000071,2025-05-04,,426.79,Annual,Quarterly,active
SUB000072,C000072,2022-10-15,2026-02-10,385.23,Monthly,Monthly,churned
SUB000073,C000073,2023-12-10,2025-11-29,43.67,Monthly,Monthly,churned
SUB000074,C000074,2022-07-31,,254.99,Annual,Annual,active
SUB000075,C000075,2024-11-14,2025-12-17,205.58,Annual,Annual,churned
SUB000076,C000076,2023-12-29,,65.97,Monthly,Monthly,at_risk
SUB000077,C000077,2023-05-28,,175.35,Monthly,Monthly,active
SUB000078,C000078,2022-12-18,2025-09-18,40.74,Monthly,Monthly,churned
SUB000079,C000079,2024-05-13,,155.26,Annual,Quarterly,active
SUB000080,C000080,2024-10-26,,245.9,Annual,Annual,active
SUB000081,C000081,2025-11-30,,44.14,Monthly,Monthly,at_risk
SUB000082,C000082,2023-11-06,,2663.8,Annual,Annual,active
SUB000083,C000083,2022-09-07,,184.17,Monthly,Monthly,active
SUB000084,C000084,2025-07-02,2026-01-05,94.39,Monthly,Monthly,churned
SUB000085,C000085,2024-08-25,,78.9,Monthly,Monthly,active
SUB000086,C000086,2024-12-14,2025-12-30,20.0,Monthly,Monthly,churned
SUB000087,C000087,2022-05-29,2026-02-05,72.53,Monthly,Monthly,churned
SUB000088,C000088,2023-04-22,2026-02-19,139.45,Annual,Quarterly,churned
SUB000089,C000089,2025-03-26,,750.34,Annual,Annual,at_risk
SUB000090,C000090,2025-06-24,,589.65,Monthly,Monthly,active
SUB000091,C000091,2023-11-05,,72.14,Annual,Annual,at_risk
SUB000092,C000092,2025-05-18,,1205.31,Annual,Annual,active
SUB000093,C000093,2025-07-10,2025-12-10,36.48,Monthly,Monthly,churned
SUB000094,C000094,2023-08-12,2025-08-14,1103.39,Monthly,Monthly,churned
SUB000095,C000095,2025-09-28,,216.0,Annual,Quarterly,active
SUB000096,C000096,2023-03-25,,126.35,Monthly,Monthly,active
SUB000097,C000097,2023-01-01,2026-01-04,28.46,Monthly,Monthly,churned
SUB000098,C000098,2024-11-03,,90.02,Annual,Annual,active
SUB000099,C000099,2024-08-28,,483.06,Monthly,Monthly,active
SUB000100,C000100,2022-08-14,2025-12-23,198.1,Monthly,Monthly,churned
SUB000101,C000101,2025-06-28,,453.9,Monthly,Monthly,at_risk
SUB000102,C000102,2022-11-10,,373.06,Monthly,Monthly,active
SUB000103,C000103,2025-05-17,,109.53,Monthly,Monthly,at_risk
SUB000104,C000104,2022-01-20,,402.62,Annual,Annual,at_risk
SUB000105,C000105,2025-04-29,,325.67,Monthly,Monthly,active
SUB000106,C000106,2025-04-17,,448.02,Annual,Annual,active
SUB000107,C000107,2025-04-09,,242.79,Monthly,Monthly,active
SUB000108,C000108,2024-10-21,,75.41,Monthly,Monthly,active
SUB000109,C000109,2023-12-31,,362.52,Monthly,Monthly,active
SUB000110,C000110,2024-12-18,,1721.87,Annual,Annual,active
SUB000111,C000111,2023-03-10,,81.99,Monthly,Quarterly,active
SUB000112,C000112,2025-04-13,,527.91,Annual,Annual,at_risk
SUB000113,C000113,2024-05-04,,643.46,Monthly,Monthly,active
SUB000114,C000114,2023-12-11,2025-08-22,70.0,Monthly,Monthly,churned
SUB000115,C000115,2024-02-09,,1067.59,Monthly,Quarterly,active
SUB000116,C000116,2024-05-14,,2568.1,Monthly,Monthly,active
SUB000117,C000117,2022-03-04,,1852.52,Monthly,Monthly,active
SUB000118,C000118,2022-08-01,,126.36,Monthly,Monthly,active
SUB000119,C000119,2023-01-14,,316.37,Monthly,Quarterly,at_risk
SUB000120,C000120,2022-06-26,2025-10-28,180.37,Monthly,Monthly,churned
SUB000121,C000121,2023-11-14,,413.81,Monthly,Monthly,at_risk
SUB000122,C000122,2024-10-21,2025-12-15,35.73,Monthly,Monthly,churned
SUB000123,C000123,2024-09-21,,132.27,Annual,Annual,active
SUB000124,C000124,2023-12-27,,45.77,Annual,Annual,active
SUB000125,C000125,2025-08-02,,358.55,Annual,Annual,active
SUB000126,C000126,2024-05-13,,110.81,Monthly,Quarterly,active
SUB000127,C000127,2022-05-14,,65.89,Monthly,Quarterly,at_risk
