cohort_month,observation_month,retention_rate,revenue_retention
2025-11-01,2026-03-01,0.589041,0.826098
2026-01-01,2026-03-01,1.0,1.0
2025-08-01,2026-03-01,0.587302,0.806317
2025-10-01,2026-03-01,0.630769,0.776771
2025-07-01,2026-03-01,0.643678,0.802037
2025-12-01,2026-03-01,0.946667,0.979475
2025-09-01,2026-03-01,0.693548,0.810122
2022-07-01,2026-03-01,0.783133,0.886983
2025-05-01,2026-03-01,0.64,0.846655
2026-02-01,2026-03-01,1.0,1.0
2024-05-01,2026-03-01,0.707692,0.879563
2024-04-01,2026-03-01,0.642857,0.782045
2023-04-01,2026-03-01,0.828571,0.954804
2022-09-01,2026-03-01,0.684211,0.900772
2022-04-01,2026-03-01,0.725806,0.861523
2022-03-01,2026-03-01,0.701493,0.870129
2024-03-01,2026-03-01,0.766234,0.888452
2023-03-01,2026-03-01,0.706667,0.809587
2024-02-01,2026-03-01,0.761194,0.875321
2022-08-01,2026-03-01,0.72,0.80633
2024-01-01,2026-03-01,0.676923,0.703561
2023-12-01,2026-03-01,0.75,0.871616
2023-06-01,2026-03-01,0.770492,0.88685
2023-10-01,2026-03-01,0.701493,0.81751
2022-05-01,2026-03-01,0.859375,0.940089
2023-11-01,2026-03-01,0.707865,0.880546
2023-07-01,2026-03-01,0.763889,0.85677
2023-05-01,2026-03-01,0.771429,0.942025
2025-06-01,2026-03-01,0.612903,0.797873
2024-06-01,2026-03-01,0.609375,0.767657
2024-07-01,2026-03-01,0.732394,0.907887
2022-12-01,2026-03-01,0.709677,0.798173
2025-04-01,2026-03-01,0.61039,0.80299
2025-03-01,2026-03-01,0.736842,0.859307
2023-08-01,2026-03-01,0.776119,0.887758
2025-02-01,2026-03-01,0.688312,0.7845
2025-01-01,2026-03-01,0.723684,0.892737
2024-12-01,2026-03-01,0.746032,0.918992
2024-11-01,2026-03-01,0.702128,0.80775
2022-10-01,2026-03-01,0.671233,0.773026
2023-01-01,2026-03-01,0.740741,0.84714
2024-10-01,2026-03-01,0.676923,0.842351
2023-09-01,2026-03-01,0.766234,0.892902
2022-02-01,2026-03-01,0.77193,0.851921
2024-09-01,2026-03-01,0.672131,0.804858
2022-06-01,2026-03-01,0.60241,0.831113
2023-02-01,2026-03-01,0.75,0.923182
2024-08-01,2026-03-01,0.767123,0.923945
2022-01-01,2026-03-01,0.714286,0.878285
2022-11-01,2026-03-01,0.761194,0.858265
2026-03-01,2026-03-01,1.0,1.0
