month,segment,region,acquisition_channel,plan_type,active_customers_start,active_mrr_start,churned_customers,churned_mrr
2022-02-01,Enterprise,Europe,Organic,Enterprise,1,4410.75,0,0.0
2022-02-01,Enterprise,Europe,Outbound,Enterprise,1,1247.32,0,0.0
2022-02-01,Enterprise,Europe,Outbound,Growth,1,140.49,0,0.0
2022-02-01,Enterprise,LATAM,Outbound,Enterprise,1,2233.4,0,0.0
2022-02-01,Enterprise,LATAM,Partner,Enterprise,1,2003.31,0,0.0
2022-02-01,Enterprise,LATAM,Partner,Pro,1,1145.05,0,0.0
2022-02-01,Enterprise,North America,Organic,Enterprise,1,2918.4,0,0.0
2022-02-01,Enterprise,North America,Organic,Growth,1,194.12,0,0.0
2022-02-01,Enterprise,North America,Outbound,Enterprise,1,1609.34,0,0.0
2022-02-01,Enterprise,North America,Partner,Pro,3,1060.32,0,0.0
2022-02-01,Mid-Market,APAC,Partner,Pro,1,399.08,0,0.0
2022-02-01,Mid-Market,APAC,Referral,Pro,1,860.98,0,0.0
2022-02-01,Mid-Market,Europe,Organic,Basic,1,45.31,0,0.0
2022-02-01,Mid-Market,Europe,Organic,Growth,1,323.72,0,0.0
2022-02-01,Mid-Market,Europe,Organic,Pro,1,807.05,0,0.0
2022-02-01,Mid-Market,Europe,Outbound,Pro,1,730.64,0,0.0
2022-02-01,Mid-Market,Europe,Paid Search,Pro,2,812.35,0,0.0
2022-02-01,Mid-Market,LATAM,Paid Search,Pro,1,698.83,0,0.0
2022-02-01,Mid-Market,North America,Paid Search,Growth,1,121.27,0,0.0
2022-02-01,SMB,APAC,Paid Search,Growth,1,228.41,0,0.0
2022-02-01,SMB,Europe,Organic,Basic,2,75.89,0,0.0
2022-02-01,SMB,Europe,Organic,Enterprise,1,1863.14,0,0.0
2022-02-01,SMB,Europe,Organic,Growth,1,153.94,0,0.0
2022-02-01,SMB,Europe,Outbound,Basic,1,64.15,0,0.0
2022-02-01,SMB,Europe,Paid Search,Basic,1,33.91,0,0.0
2022-02-01,SMB,Europe,Paid Search,Pro,1,661.91,0,0.0
2022-02-01,SMB,Europe,Referral,Growth,1,175.99,0,0.0
2022-02-01,SMB,LATAM,Organic,Growth,1,58.69,0,0.0
2022-02-01,SMB,LATAM,Partner,Growth,1,237.57,0,0.0
2022-02-01,SMB,LATAM,Referral,Growth,1,135.78,0,0.0
2022-02-01,SMB,North America,Affiliate,Pro,1,335.62,0,0.0
2022-02-01,SMB,North America,Organic,Growth,1,294.89,0,0.0
2022-02-01,SMB,North America,Outbound,Growth,1,92.7,0,0.0
2022-02-01,SMB,North America,Outbound,Pro,1,985.19,0,0.0
2022-02-01,SMB,North America,Paid Search,Growth,1,172.88,0,0.0
2022-02-01,SMB,North America,Referral,Pro,1,744.36,0,0.0
2022-02-01,Startup,Europe,Affiliate,Basic,2,188.43,0,0.0
2022-02-01,Startup,Europe,Organic,Basic,1,75.4,0,0.0
2022-02-01,Startup,LATAM,Affiliate,Pro,1,521.79,0,0.0
2022-02-01,Startup,LATAM,Paid Search,Basic,1,40.5,0,0.0
2022-02-01,Startup,North America,Affiliate,Basic,2,213.0,0,0.0
2022-02-01,Startup,North America,Affiliate,Growth,1,167.78,0,0.0
2022-02-01,Startup,North America,Affiliate,Pro,1,344.84,0,0.0
2022-02-01,Startup,North America,Organic,Basic,1,87.74,0,0.0
2022-02-01,Startup,North America,Organic,Growth,1,279.56,0,0.0
2022-02-01,Startup,North America,Outbound,Growth,1,264.01,0,0.0
2022-03-01,Enterprise,APAC,Organic,Pro,1,1469.17,0,0.0
2022-03-01,Enterprise,APAC,Partner,Growth,1,229.41,0,0.0
2022-03-01,Enterprise,Europe,Organic,Enterprise,1,4410.75,0,0.0
2022-03-01,Enterprise,Europe,Outbound,Enterprise,1,1247.32,0,0.0
2022-03-01,Enterprise,Europe,Outbound,Growth,1,140.49,0,0.0
2022-03-01,Enterprise,LATAM,Organic,Enterprise,1,405.99,0,0.0
2022-03-01,Enterprise,LATAM,Outbound,Enterprise,1,2233.4,0,0.0
2022-03-01,Enterprise,LATAM,Partner,Enterprise,1,2003.31,0,0.0
2022-03-01,Enterprise,LATAM,Partner,Growth,1,136.68,0,0.0
2022-03-01,Enterprise,LATAM,Partner,Pro,1,1145.05,0,0.0
2022-03-01,Enterprise,North America,Organic,Enterprise,1,2918.4,0,0.0
2022-03-01,Enterprise,North America,Organic,Growth,1,194.12,0,0.0
2022-03-01,Enterprise,North America,Outbound,Enterprise,1,1609.34,0,0.0
2022-03-01,Enterprise,North America,Outbound,Pro,2,781.9,0,0.0
2022-03-01,Enterprise,North America,Paid Search,Growth,1,213.94,0,0.0
2022-03-01,Enterprise,North America,Partner,Enterprise,1,842.17,0,0.0
2022-03-01,Enterprise,North America,Partner,Growth,1,113.37,0,0.0
2022-03-01,Enterprise,North America,Partner,Pro,3,1060.32,0,0.0
2022-03-01,Enterprise,North America,Referral,Enterprise,2,2937.22,0,0.0
2022-03-01,Mid-Market,APAC,Organic,Basic,1,38.2,0,0.0
2022-03-01,Mid-Market,APAC,Organic,Growth,1,355.92,0,0.0
2022-03-01,Mid-Market,APAC,Partner,Pro,1,399.08,0,0.0
2022-03-01,Mid-Market,APAC,Referral,Pro,1,860.98,0,0.0
2022-03-01,Mid-Market,Europe,Organic,Basic,1,45.31,0,0.0
2022-03-01,Mid-Market,Europe,Organic,Growth,1,323.72,0,0.0
2022-03-01,Mid-Market,Europe,Organic,Pro,2,1259.28,0,0.0
2022-03-01,Mid-Market,Europe,Outbound,Pro,1,730.64,0,0.0
2022-03-01,Mid-Market,Europe,Paid Search,Pro,2,812.35,0,0.0
2022-03-01,Mid-Market,Europe,Partner,Growth,1,128.3,0,0.0
2022-03-01,Mid-Market,LATAM,Paid Search,Pro,1,698.83,0,0.0
2022-03-01,Mid-Market,LATAM,Partner,Enterprise,1,1349.4,0,0.0
